Object,Close-Approach (CA) Date,CA Distance Nominal (km),Estimated Diameter,Min Diameter (km),Max Diameter (km)
(2018 RC),2018-Sep-09 12:09 ± < 00:01,222953.15999999997,28 m -   62 m,0.028,0.062
(2008 CK70),2008-Feb-15 00:19 ± < 00:01,372869.94,28 m -   62 m,0.028,0.062
(2019 DP),2017-Aug-29 20:36 ±    00:02,61504.32,27 m -   59 m,0.027,0.059
(2016 QA2),2016-Aug-28 01:26 ± < 00:01,88412.46,25 m -   57 m,0.025,0.057
(2012 TV),2012-Oct-07 15:05 ± < 00:01,253705.32,24 m -   54 m,0.024,0.054
(2019 AW2),2018-Dec-28 12:36 ±    00:08,165292.86,23 m -   52 m,0.023,0.052
(2007 JB21),1910-May-09 08:59 ±    02:06,288301.5,22 m -   49 m,0.022,0.049
(2014 GY44),2014-Mar-30 00:27 ±    00:03,169136.88,22 m -   49 m,0.022,0.049
(2015 DD54),1935-Mar-08 09:13 ± 1_15:03,184512.96,22 m -   49 m,0.022,0.049
(2012 XE54),2012-Dec-11 10:05 ± < 00:01,226797.18,22 m -   49 m,0.022,0.049
(2017 TF5),2017-Oct-10 07:40 ±    01:01,280613.46,22 m -   49 m,0.022,0.049
(2010 UJ7),2010-Nov-02 02:37 ± < 00:01,288301.5,22 m -   49 m,0.022,0.049
(2007 BD),2007-Jan-18 02:52 ± < 00:01,322897.68,22 m -   49 m,0.022,0.049
(2016 EF195),2016-Mar-11 04:57 ±    00:03,30752.16,21 m -   47 m,0.021,0.047
(2002 XV90),2002-Dec-11 08:24 ±    00:03,119164.62,21 m -   47 m,0.021,0.047
(2020 TA),2020-Oct-01 11:07 ±    00:02,219109.13999999998,21 m -   47 m,0.021,0.047
(2020 UE),2020-Oct-15 08:55 ± < 00:01,272925.42,21 m -   46 m,0.021,0.046
(2019 FC1),2019-Mar-28 05:46 ± < 00:01,103788.54000000001,20 m -   45 m,0.02,0.045
(2011 PU1),2011-Jul-24 19:30 ± < 00:01,334429.74,20 m -   45 m,0.02,0.045
(2019 DS1),1970-Feb-26 13:57 ± < 00:01,361337.88,20 m -   45 m,0.02,0.045
(2016 AQ164),2016-Jan-10 14:15 ±    00:02,103788.54000000001,2.9 m -  6.5 m,0.0029,0.0065
(2020 RD4),2020-Sep-14 20:33 ± < 00:01,107632.56000000001,2.9 m -  6.5 m,0.0029,0.0065
(2020 BZ13),2020-Jan-29 01:18 ± < 00:01,107632.56000000001,2.9 m -  6.5 m,0.0029,0.0065
(2019 DF),2019-Feb-26 21:11 ±    00:09,172980.9,2.9 m -  6.5 m,0.0029,0.0065
(2018 WH),2018-Nov-16 05:49 ± < 00:01,192201.0,2.9 m -  6.5 m,0.0029,0.0065
(2016 CW264),2016-Feb-10 11:38 ±    00:02,211421.1,2.9 m -  6.5 m,0.0029,0.0065
(2011 YB63),2012-Jan-02 10:15 ±    00:04,234485.22,2.9 m -  6.5 m,0.0029,0.0065
(2020 QG),2020-Aug-16 04:09 ± < 00:01,7688.04,2.8 m -  6.3 m,0.0028,0.0063
(2016 VF18),2016-Nov-10 11:35 ±    01:06,69192.36,2.8 m -  6.3 m,0.0028,0.0063
(2017 GM),2017-Apr-04 10:32 ± < 00:01,15376.08,2.8 m -  6.2 m,0.0028,0.0062
(2005 WN3),2005-Nov-26 00:32 ± < 00:01,84568.44,2.8 m -  6.2 m,0.0028,0.0062
(2014 AG51),2014-Jan-09 07:54 ±    00:02,130696.68000000001,2.8 m -  6.2 m,0.0028,0.0062
(2020 KJ4),2020-May-28 13:21 ± < 00:01,142228.74,2.8 m -  6.2 m,0.0028,0.0062
(2016 DA31),2016-Feb-29 15:56 ±    00:02,199889.04,2.8 m -  6.2 m,0.0028,0.0062
(2019 NK1),2019-Jul-02 09:49 ± < 00:01,265237.38,2.8 m -  6.2 m,0.0028,0.0062
(2012 XB112),2012-Dec-14 15:06 ± < 00:01,315209.63999999996,2.8 m -  6.2 m,0.0028,0.0062
(2020 JJ),2020-May-04 12:05 ± < 00:01,11532.06,2.7 m -  6.0 m,0.0027,0.006
(2010 WA),2010-Nov-17 03:45 ± < 00:01,38440.200000000004,2.7 m -  5.9 m,0.0027,0.005900000000000001
(2018 RS),2018-Sep-05 17:21 ±    00:04,107632.56000000001,2.7 m -  5.9 m,0.0027,0.005900000000000001
(2018 RR1),2018-Sep-03 22:00 ± < 00:01,361337.88,2.7 m -  5.9 m,0.0027,0.005900000000000001
(2018 FL29),2018-Mar-17 23:18 ±    00:20,222953.15999999997,2.6 m -  5.7 m,0.0026,0.0057
(2019 EH1),2019-Mar-01 17:38 ± < 00:01,23064.12,2.5 m -  5.7 m,0.0025,0.0057
(2018 BD),2018-Jan-18 15:43 ± < 00:01,38440.200000000004,2.5 m -  5.7 m,0.0025,0.0057
(2019 SU2),2019-Sep-21 02:48 ±    00:01,73036.38,2.5 m -  5.7 m,0.0025,0.0057
(2003 SQ222),2003-Sep-27 22:56 ± < 00:01,84568.44,2.5 m -  5.7 m,0.0025,0.0057
(2018 WG2),2018-Nov-30 19:09 ± < 00:01,199889.04,2.5 m -  5.7 m,0.0025,0.0057
(2015 WP2),2015-Nov-20 01:43 ± < 00:01,230641.19999999998,2.5 m -  5.7 m,0.0025,0.0057
(2018 WA1),2018-Nov-13 18:28 ± < 00:01,249861.30000000002,2.5 m -  5.7 m,0.0025,0.0057
(2020 OY4),2020-Jul-28 05:30 ± < 00:01,42284.22,2.4 m -  5.5 m,0.0024,0.0055
(2018 UA),2018-Oct-19 14:46 ± < 00:01,15376.08,2.4 m -  5.4 m,0.0024,0.0054
(2008 VM),2008-Nov-03 22:31 ±    00:09,46128.24,2.4 m -  5.4 m,0.0024,0.0054
(2016 GN134),2016-Apr-04 13:52 ± < 00:01,57660.299999999996,2.4 m -  5.4 m,0.0024,0.0054
(2012 FS35),2012-Mar-26 17:09 ± < 00:01,65348.340000000004,2.4 m -  5.4 m,0.0024,0.0054
(2015 EO6),2015-Mar-12 00:31 ± < 00:01,107632.56000000001,2.4 m -  5.4 m,0.0024,0.0054
(2018 WV1),2018-Dec-02 03:11 ± < 00:01,34596.18,2.3 m -  5.2 m,0.0023,0.0052
(2011 CA7),2011-Feb-09 19:28 ±    00:07,103788.54000000001,2.3 m -  5.2 m,0.0023,0.0052
(2020 DW),2020-Feb-18 17:02 ± < 00:01,242173.26,2.3 m -  5.1 m,0.0023,0.0050999999999999995
(2016 AN164),2016-Jan-14 14:55 ± < 00:01,38440.200000000004,2.2 m -  4.9 m,0.0022,0.004900000000000001
(2015 DD1),2015-Feb-17 07:38 ± < 00:01,38440.200000000004,2.2 m -  4.9 m,0.0022,0.004900000000000001
(2019 QH2),2019-Aug-20 18:12 ±    00:08,49972.26,2.2 m -  4.9 m,0.0022,0.004900000000000001
(2019 UU1),1994-Apr-16 07:59 ±    04:16,180668.94,2.2 m -  4.9 m,0.0022,0.004900000000000001
(2014 WE6),2014-Nov-13 18:06 ±    00:02,219109.13999999998,2.2 m -  4.9 m,0.0022,0.004900000000000001
(2019 UU1),2019-Oct-18 06:23 ± < 00:01,226797.18,2.2 m -  4.9 m,0.0022,0.004900000000000001
(2016 DY30),2016-Feb-25 19:59 ±    00:06,15376.08,2.1 m -  4.7 m,0.0021000000000000003,0.0047
(2018 RW),1938-Jun-21 02:53 ± 3_16:36,103788.54000000001,2.0 m -  4.5 m,0.002,0.0045
(2017 FN1),2017-Mar-20 21:02 ± < 00:01,61504.32,2.0 m -  4.5 m,0.002,0.0045
(2015 VU64),2015-Nov-06 23:09 ± < 00:01,99944.52,2.0 m -  4.5 m,0.002,0.0045
(2019 RQ),2019-Sep-02 16:45 ± < 00:01,111476.57999999999,2.0 m -  4.5 m,0.002,0.0045
(2018 RW),2018-Sep-08 05:18 ± < 00:01,169136.88,2.0 m -  4.5 m,0.002,0.0045
(2017 VW13),2001-Nov-08 12:24 ± 1_04:35,142228.74,190 m -  430 m,0.19,0.43
(2004 FH),2004-Mar-18 22:09 ± < 00:01,49972.26,19 m -   43 m,0.019,0.043
(2010 KK37),2012-May-19 23:48 ± 4_06:19,165292.86,19 m -   43 m,0.019,0.043
(2019 BV2),1954-Aug-02 00:31 ± 8_09:57,376713.96,19 m -   43 m,0.019,0.043
(2014 HO132),1911-May-05 16:05 ± 5_20:39,215265.12000000002,19 m -   43 m,0.019,0.043
(2005 XA8),2005-Dec-05 11:12 ± < 00:01,215265.12000000002,19 m -   43 m,0.019,0.043
(2020 FD2),2020-Mar-14 20:18 ±    00:05,326741.7,19 m -   43 m,0.019,0.043
(2014 DX110),2014-Mar-05 21:00 ± < 00:01,349805.82,19 m -   43 m,0.019,0.043
(2020 JG),2020-Apr-30 19:38 ± < 00:01,215265.12000000002,19 m -   41 m,0.019,0.041
(2009 DD45),2009-Mar-02 13:45 ± < 00:01,73036.38,18 m -   41 m,0.018,0.041
(2017 SQ2),2017-Sep-14 16:14 ± < 00:01,199889.04,18 m -   41 m,0.018,0.041
(2007 YP56),2007-Dec-27 16:50 ±    00:11,207577.08000000002,18 m -   41 m,0.018,0.041
(2019 EA2),2019-Mar-22 01:53 ± < 00:01,307521.60000000003,18 m -   41 m,0.018,0.041
(2018 HW1),2018-Apr-21 22:53 ± < 00:01,342117.78,18 m -   41 m,0.018,0.041
(2018 CB),2018-Feb-09 22:29 ± < 00:01,69192.36,18 m -   39 m,0.018,0.039
(2011 UT),2011-Oct-12 19:15 ±    00:05,226797.18,17 m -   38 m,0.017,0.038
(2018 BF3),2018-Jan-19 03:00 ± < 00:01,242173.26,17 m -   38 m,0.017,0.038
(2009 JL2),2009-May-13 21:32 ± < 00:01,265237.38,17 m -   38 m,0.017,0.038
(2001 BA16),2001-Jan-15 20:30 ±    00:01,307521.60000000003,17 m -   38 m,0.017,0.038
(2019 MB4),2019-Jul-09 07:20 ± < 00:01,315209.63999999996,17 m -   38 m,0.017,0.038
(2017 DS109),2017-Mar-05 14:29 ± < 00:01,353649.84,17 m -   38 m,0.017,0.038
(2020 FB7),2020-Mar-31 16:17 ± < 00:01,76880.40000000001,16 m -   36 m,0.016,0.036
(2018 WE1),2018-Nov-25 00:03 ± < 00:01,107632.56000000001,16 m -   36 m,0.016,0.036
(2017 VL2),2017-Nov-09 09:50 ± < 00:01,119164.62,16 m -   36 m,0.016,0.036
(2017 AG13),2017-Jan-09 12:50 ± < 00:01,207577.08000000002,16 m -   36 m,0.016,0.036
(2004 FY15),2004-Mar-27 20:22 ± < 00:01,238329.24,16 m -   36 m,0.016,0.036
(2015 KW121),2015-May-23 18:02 ± < 00:01,284457.48,16 m -   36 m,0.016,0.036
(2016 TB57),1984-Jan-10 00:58 ±    00:20,295989.54,16 m -   36 m,0.016,0.036
(2014 YR14),2014-Dec-26 09:52 ± < 00:01,349805.82,16 m -   36 m,0.016,0.036
(2008 AF3),2008-Jan-13 09:14 ± < 00:01,376713.96,16 m -   36 m,0.016,0.036
(2020 FL2),2020-Mar-22 20:32 ± < 00:01,146072.76,16 m -   35 m,0.016,0.035
(2002 JE9),1971-Apr-11 02:33 ±    00:14,269081.39999999997,150 m -  340 m,0.15,0.34
(2019 WH),2019-Nov-19 08:01 ± < 00:01,84568.44,15 m -   34 m,0.015,0.034
(2019 SS3),2019-Sep-22 22:46 ±    00:03,280613.46,15 m -   34 m,0.015,0.034
(2004 XB45),2004-Dec-16 19:10 ± < 00:01,326741.7,15 m -   34 m,0.015,0.034
(2019 SP3),2019-Oct-03 06:33 ± < 00:01,372869.94,15 m -   34 m,0.015,0.034
(2011 TO),2011-Sep-28 15:26 ±    00:03,126852.66,15 m -   33 m,0.015,0.033
(2008 FP),2008-Mar-29 11:39 ± < 00:01,169136.88,15 m -   33 m,0.015,0.033
(2020 NB),2020-Jul-05 21:20 ± < 00:01,176824.92,15 m -   33 m,0.015,0.033
(2016 GO206),2016-Apr-06 20:01 ±    00:06,330585.72,15 m -   33 m,0.015,0.033
(2004 ST26),2004-Sep-21 23:31 ±    00:02,369025.92,15 m -   33 m,0.015,0.033
(2012 TY52),1982-Nov-04 08:08 ±    00:03,315209.63999999996,140 m -  310 m,0.14,0.31
(2012 KP24),2012-May-28 15:21 ± < 00:01,57660.299999999996,14 m -   31 m,0.014,0.031
(2003 XJ7),2003-Dec-06 19:04 ± < 00:01,149916.78,14 m -   31 m,0.014,0.031
(2007 DN41),2007-Feb-21 09:41 ± < 00:01,303677.58,14 m -   31 m,0.014,0.031
(2009 EW),2009-Mar-06 03:37 ± < 00:01,338273.76,14 m -   31 m,0.014,0.031
(2004 RU109),2004-Sep-13 15:43 ± < 00:01,369025.92,14 m -   31 m,0.014,0.031
(2006 DD1),2006-Feb-23 06:56 ± < 00:01,119164.62,13 m -   30 m,0.013,0.03
(2011 OD18),2011-Jul-28 08:38 ±    00:03,172980.9,13 m -   30 m,0.013,0.03
(2019 GC6),2019-Apr-18 06:41 ± < 00:01,219109.13999999998,13 m -   30 m,0.013,0.03
(2005 VL1),1965-Oct-27 17:50 ±    00:02,288301.5,13 m -   30 m,0.013,0.03
(2018 LV3),2018-Jun-15 02:31 ± < 00:01,330585.72,13 m -   30 m,0.013,0.03
(2019 GN20),2019-Apr-12 07:06 ± < 00:01,376713.96,13 m -   30 m,0.013,0.03
(2020 RZ6),2020-Sep-17 18:23 ± < 00:01,338273.76,13 m -   29 m,0.013,0.029
(2016 UD),2014-Oct-18 13:18 ± 7_13:48,65348.340000000004,13 m -   28 m,0.013,0.028
(2016 UD),2016-Oct-17 23:32 ±    00:14,73036.38,13 m -   28 m,0.013,0.028
(2020 GY1),2020-Apr-05 07:37 ± < 00:01,80724.42,13 m -   28 m,0.013,0.028
(2009 FH),2009-Mar-18 12:08 ± < 00:01,84568.44,13 m -   28 m,0.013,0.028
(2012 TM79),2012-Oct-09 17:05 ± < 00:01,92256.48,13 m -   28 m,0.013,0.028
(2020 HM6),2020-Apr-22 05:52 ± < 00:01,161448.84,13 m -   28 m,0.013,0.028
(2018 RY5),2018-Sep-12 17:12 ± < 00:01,180668.94,13 m -   28 m,0.013,0.028
(2018 CC),2018-Feb-06 20:12 ± < 00:01,188356.98,13 m -   28 m,0.013,0.028
(2015 LF),2015-Jun-08 23:49 ± < 00:01,196045.02,13 m -   28 m,0.013,0.028
(2015 LR21),1955-Jun-19 01:24 ±    00:14,226797.18,13 m -   28 m,0.013,0.028
(2018 EZ2),2018-Mar-14 02:41 ± < 00:01,215265.12000000002,13 m -   28 m,0.013,0.028
(2006 EC),2006-Mar-08 15:19 ± < 00:01,269081.39999999997,13 m -   28 m,0.013,0.028
(2008 BC15),2008-Jan-31 13:19 ± < 00:01,295989.54,13 m -   28 m,0.013,0.028
(2018 TC),2018-Sep-30 20:00 ± < 00:01,303677.58,13 m -   28 m,0.013,0.028
(2019 KT),2019-May-28 03:48 ± < 00:01,326741.7,13 m -   28 m,0.013,0.028
(2017 VE),2017-Nov-04 05:13 ± < 00:01,338273.76,13 m -   28 m,0.013,0.028
(2020 GH2),2020-Apr-15 12:47 ± < 00:01,357493.86000000004,13 m -   28 m,0.013,0.028
(2014 AK51),2014-Jan-08 09:09 ± < 00:01,369025.92,13 m -   28 m,0.013,0.028
(2020 PY2),2020-Aug-20 23:29 ± < 00:01,349805.82,12 m -   28 m,0.012,0.028
(2012 TC4),2017-Oct-12 05:42 ± < 00:01,49972.26,12 m -   27 m,0.012,0.027
(2012 TC4),2012-Oct-12 05:30 ± < 00:01,96100.5,12 m -   27 m,0.012,0.027
(2015 ET),2015-Mar-10 16:42 ± < 00:01,126852.66,12 m -   27 m,0.012,0.027
(2018 VO5),2018-Nov-06 01:31 ± < 00:01,142228.74,12 m -   27 m,0.012,0.027
(2020 HF5),2020-Apr-22 16:41 ± < 00:01,146072.76,12 m -   27 m,0.012,0.027
(2019 HE),2019-Apr-20 21:12 ± < 00:01,222953.15999999997,12 m -   27 m,0.012,0.027
(2006 DM63),2006-Feb-24 03:54 ±    00:46,230641.19999999998,12 m -   27 m,0.012,0.027
(2015 BP513),2015-Jan-18 17:09 ± < 00:01,238329.24,12 m -   27 m,0.012,0.027
(2009 KR21),2009-Jun-01 10:07 ±    00:02,284457.48,12 m -   27 m,0.012,0.027
(2011 DU9),2011-Feb-23 19:03 ±    00:01,288301.5,12 m -   27 m,0.012,0.027
(2013 TL127),2013-Oct-09 02:25 ±    00:02,376713.96,12 m -   27 m,0.012,0.027
(2014 RC),2014-Sep-07 18:02 ± < 00:01,38440.200000000004,12 m -   26 m,0.012,0.026
(2019 UG11),2019-Nov-01 20:42 ± < 00:01,211421.1,12 m -   26 m,0.012,0.026
(2010 KV39),2010-May-26 21:42 ± < 00:01,249861.30000000002,12 m -   26 m,0.012,0.026
(2009 WP6),2009-Nov-15 14:49 ±    00:13,265237.38,12 m -   26 m,0.012,0.026
(2004 HE),2004-Apr-18 00:21 ± < 00:01,276769.44,12 m -   26 m,0.012,0.026
(2013 UV3),2013-Oct-29 21:49 ± < 00:01,284457.48,12 m -   26 m,0.012,0.026
(2020 QJ5),2020-Aug-12 14:59 ±    01:41,295989.54,12 m -   26 m,0.012,0.026
(2020 TD7),2020-Oct-13 09:51 ±    00:01,338273.76,12 m -   26 m,0.012,0.026
(2018 BN6),2018-Jan-24 09:29 ± < 00:01,361337.88,12 m -   26 m,0.012,0.026
308635 (2005 YU55),2011-Nov-08 23:29 ± < 00:01,326741.7,110 m -  250 m,0.11,0.25
(2019 VS4),2019-Nov-06 16:28 ± < 00:01,138384.72,11 m -   25 m,0.011,0.025
(2005 FN),2005-Mar-18 21:44 ± < 00:01,142228.74,11 m -   25 m,0.011,0.025
(2010 XR),2010-Nov-29 21:58 ±    02:54,192201.0,11 m -   25 m,0.011,0.025
(2019 OD3),2019-Jul-28 02:56 ± < 00:01,188356.98,11 m -   25 m,0.011,0.025
(2011 EB74),2011-Mar-16 21:50 ±    03:16,326741.7,11 m -   25 m,0.011,0.025
(2020 BK3),2020-Jan-20 20:52 ± < 00:01,299833.56,11 m -   25 m,0.011,0.025
(2012 MF7),2012-Jun-21 02:42 ±    00:01,315209.63999999996,11 m -   25 m,0.011,0.025
(2010 TN55),2010-Oct-11 01:11 ±    00:03,326741.7,11 m -   25 m,0.011,0.025
(2020 CJ),2020-Jan-31 19:03 ± < 00:01,353649.84,11 m -   25 m,0.011,0.025
(2008 EZ7),2008-Mar-09 01:21 ± < 00:01,161448.84,11 m -   24 m,0.011,0.024
(2004 OD4),2004-Jul-16 05:10 ± < 00:01,165292.86,11 m -   24 m,0.011,0.024
(2014 LN17),2014-Jun-03 12:56 ±    00:04,215265.12000000002,11 m -   24 m,0.011,0.024
(2003 HW10),2003-Apr-29 06:24 ± < 00:01,330585.72,11 m -   24 m,0.011,0.024
(2007 CC27),2007-Feb-11 12:40 ± < 00:01,330585.72,11 m -   24 m,0.011,0.024
(2007 XB23),2007-Dec-13 04:03 ±    00:27,99944.52,10 m -   23 m,0.01,0.023
(2009 WV51),2009-Nov-24 19:54 ± < 00:01,149916.78,10 m -   23 m,0.01,0.023
(2008 OT7),2008-Jul-29 07:04 ± < 00:01,172980.9,10 m -   23 m,0.01,0.023
(2010 KO10),2010-May-23 03:55 ± < 00:01,172980.9,10 m -   23 m,0.01,0.023
(2020 FG4),2020-Mar-19 13:35 ±    00:51,188356.98,10 m -   23 m,0.01,0.023
(2014 MH6),2014-Jun-22 14:05 ±    00:02,246017.28,10 m -   23 m,0.01,0.023
(2011 CA4),2011-Jan-31 04:08 ±    00:10,246017.28,10 m -   23 m,0.01,0.023
(2010 RX30),2010-Sep-08 09:51 ± < 00:01,246017.28,10 m -   23 m,0.01,0.023
(2017 SS12),2017-Sep-24 15:32 ± < 00:01,257549.34000000003,10 m -   23 m,0.01,0.023
(2006 OK3),2006-Jul-23 10:45 ± < 00:01,280613.46,10 m -   23 m,0.01,0.023
(2009 JF1),2009-May-05 19:39 ± < 00:01,292145.52,10 m -   23 m,0.01,0.023
(2019 FQ),2019-Mar-23 18:17 ± < 00:01,330585.72,10 m -   23 m,0.01,0.023
(2020 SP),2020-Sep-13 00:57 ±    00:01,330585.72,10 m -   23 m,0.01,0.023
(2014 WJ6),2014-Nov-15 16:12 ±    00:01,334429.74,10 m -   23 m,0.01,0.023
(2011 BY10),2011-Jan-20 08:29 ±    00:03,357493.86000000004,10 m -   23 m,0.01,0.023
(2019 SS2),2019-Sep-21 07:12 ±    00:02,115320.59999999999,1.9 m -  4.3 m,0.0019,0.0043
(2016 JS5),2016-May-05 22:47 ± < 00:01,203733.06,1.9 m -  4.3 m,0.0019,0.0043
(2012 AQ),2011-Dec-29 08:32 ±    00:02,269081.39999999997,1.9 m -  4.3 m,0.0019,0.0043
(2017 EA),2017-Mar-02 14:05 ± < 00:01,19220.100000000002,1.8 m -  4.1 m,0.0018,0.0040999999999999995
(2011 CF22),2011-Feb-06 11:40 ±    02:56,38440.200000000004,1.8 m -  4.0 m,0.0018,0.004
(2017 UJ2),2017-Oct-20 14:07 ±    00:02,19220.100000000002,1.8 m -  3.9 m,0.0018,0.0039
(2007 RS1),2007-Sep-05 01:19 ± < 00:01,73036.38,1.8 m -  3.9 m,0.0018,0.0039
(2018 VP1),2018-Nov-02 18:20 ± < 00:01,149916.78,1.8 m -  3.9 m,0.0018,0.0039
(2012 BV1),2012-Jan-20 07:14 ±    00:01,319053.66,1.7 m -  3.8 m,0.0017,0.0038
(2015 FU344),2015-Mar-16 05:50 ±    00:02,380557.98,1.7 m -  3.8 m,0.0017,0.0038
(2016 RN41),2016-Sep-11 14:56 ±    00:02,23064.12,1.7 m -  3.7 m,0.0017,0.0037
(2013 RZ53),1954-Mar-13 00:00 ±    02:52,103788.54000000001,1.6 m -  3.6 m,0.0016,0.0036
(2020 UX),2020-Oct-19 06:56 ±    00:18,188356.98,1.6 m -  3.6 m,0.0016,0.0036
(2013 RZ53),2013-Sep-18 22:51 ± < 00:01,242173.26,1.6 m -  3.6 m,0.0016,0.0036
(2020 QY2),2020-Aug-20 23:50 ± < 00:01,65348.340000000004,1.5 m -  3.4 m,0.0015,0.0034
(2008 US),2008-Oct-20 23:30 ±    00:15,34596.18,1.4 m -  3.1 m,0.0014,0.0031
(2013 YB),2013-Dec-23 12:51 ±    00:01,26908.140000000003,1.3 m -  3.0 m,0.0013,0.003
(2019 YS),2019-Dec-18 15:12 ± < 00:01,65348.340000000004,1.3 m -  3.0 m,0.0013,0.003
(2020 CD3),2019-Apr-04 09:32 ±    01:09,11532.06,1.2 m -  2.8 m,0.0012,0.0028
(2020 CD3),2020-Feb-13 16:20 ± < 00:01,46128.24,1.2 m -  2.8 m,0.0012,0.0028
(2020 CD3),2019-Jan-16 16:53 ± 9_10:47,161448.84,1.2 m -  2.8 m,0.0012,0.0028
(2020 CD3),2019-Jun-30 17:33 ±    01:30,276769.44,1.2 m -  2.8 m,0.0012,0.0028
(2020 CD3),2019-Nov-18 13:05 ±    00:19,288301.5,1.2 m -  2.8 m,0.0012,0.0028
(2020 CD3),2019-Sep-10 04:03 ±    01:02,303677.58,1.2 m -  2.8 m,0.0012,0.0028
(2019 VB5),2019-Nov-09 17:29 ± < 00:01,146072.76,1.2 m -  2.7 m,0.0012,0.0027
(2017 WE30),2017-Nov-26 17:55 ±    00:03,30752.16,1.1 m -  2.5 m,0.0011,0.0025
(2019 UN13),2019-Oct-31 14:45 ± < 00:01,11532.06,1.1 m -  2.4 m,0.0011,0.0024
(2017 UL6),2017-Oct-28 11:24 ±    00:02,61504.32,1.1 m -  2.4 m,0.0011,0.0024
(2011 CQ1),2011-Feb-04 19:39 ± < 00:01,11532.06,1.0 m -  2.3 m,0.001,0.0023
(2008 UM1),2008-Oct-22 03:57 ±    00:13,84568.44,1.0 m -  2.3 m,0.001,0.0023
(2019 AS5),2019-Jan-08 00:37 ± < 00:01,15376.08,0.92 m -  2.1 m,0.00092,0.0021000000000000003
(2020 CW),2020-Feb-01 12:50 ± < 00:01,15376.08,0.83 m -  1.9 m,0.00083,0.0019
(2008 TS26),2008-Oct-09 03:30 ±    00:03,11532.06,0.61 m -  1.4 m,0.00061,0.0014
